fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos,inicio_utc,fin_utc,ordenes_persistidas,ordenes_sin_factura,facturas_importe_distinto,orden_factura_lineas_distintas,orden_factura_estado,ordenes_stock_ausente_o_distinto,ordenes_descuento_duplicado,inventario_exactamente_una_vez_estado,eventos_stock_negativo,stock_no_negativo_estado,outbox_procesados_saga,outbox_no_resueltos_saga,convergencia_compensacion_ms,convergencia_compensacion_estado,cancelados_compensados_estado,inconsistencias,ordenes_con_inconsistencia,tasa_inconsistencia,oracle_pass
timing,2pc,200,1,60.0,300.0,0.1,5.0,200,200,1520,667,0.438816,472,292,180,0.618644,"{""0"": 124, ""200"": 673, ""201"": 181, ""401"": 14, ""500"": 116, ""503"": 413}",46000,90000,90000,3.8613549058791703,0.0,0.8,86.93,92.14,False,,1788686477.354,395.415,2026-09-06T09:21:17.354000+00:00,2026-09-06T09:27:52.769000+00:00,374,98,0,0,verificado_con_violaciones,98,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,98,98,0.262032,false
timing,2pc,400,1,60.0,300.0,0.1,5.0,400,400,5036,4040,0.802224,448,405,43,0.904018,"{""0"": 3610, ""200"": 953, ""201"": 44, ""401"": 177, ""500"": 63, ""503"": 191}",17000,83000,90000,12.76842667444184,0.0,0.0,107.02,112.39,False,,1788687343.604,396.314,2026-09-06T09:35:43.604000+00:00,2026-09-06T09:42:19.918000+00:00,272,55,0,0,verificado_con_violaciones,55,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,55,55,0.202206,false
none,saga,50,1,60.0,300.0,0.0,5.0,50,50,886,55,0.062077,398,19,379,0.047739,"{""200"": 452, ""201"": 383, ""503"": 55}",18000,30000,37000,2.633923035648118,0.0,0.0,74.78,76.55,False,,1788687922.807,338.87,2026-09-06T09:45:22.807000+00:00,2026-09-06T09:51:01.677000+00:00,383,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,382,1,784369.067,verificado_parcial_con_pendientes,no_verificado,0,0,0.0,no_verificado
none,saga,100,1,60.0,300.0,0.0,5.0,100,100,1048,55,0.052481,454,19,435,0.04185,"{""200"": 558, ""201"": 439, ""500"": 2, ""503"": 53}",32000,56000,70000,2.986122287545408,0.6,104.2,79.13,81.76,False,,1788688507.768,353.417,2026-09-06T09:55:07.768000+00:00,2026-09-06T10:01:01.185000+00:00,441,2,0,0,verificado_con_violaciones,2,0,verificado_con_violaciones,0,verificado_sin_violaciones,438,1,2326755.758,verificado_parcial_con_pendientes,no_verificado,2,2,0.004535,false
none,saga,200,1,60.0,300.0,0.0,5.0,200,200,1485,328,0.220875,593,230,363,0.387858,"{""0"": 46, ""200"": 794, ""201"": 364, ""401"": 16, ""409"": 5, ""500"": 94, ""503"": 167}",48000,85000,90000,3.936699479248818,0.52,97.7,86.63,91.43,False,,1788689200.693,380.471,2026-09-06T10:06:40.693000+00:00,2026-09-06T10:13:01.164000+00:00,470,70,0,0,verificado_con_violaciones,70,0,verificado_con_violaciones,0,verificado_sin_violaciones,394,6,4263212.966,verificado_parcial_con_pendientes,no_verificado,70,70,0.148936,false
none,saga,400,1,60.0,300.0,0.0,5.0,400,400,3524,2425,0.688138,420,378,42,0.9,"{""0"": 2109, ""200"": 1057, ""201"": 42, ""401"": 164, ""500"": 60, ""503"": 92}",17000,92000,92000,8.94078703951537,0.0,0.0,105.95,112.57,False,,1788690052.971,396.431,2026-09-06T10:20:52.971000+00:00,2026-09-06T10:27:29.402000+00:00,345,50,0,0,verificado_con_violaciones,50,0,verificado_con_violaciones,0,verificado_sin_violaciones,288,7,5630062.736,verificado_parcial_con_pendientes,no_verificado,50,50,0.144928,false
omission,saga,50,1,60.0,300.0,0.1,5.0,50,50,991,46,0.046418,470,46,424,0.097872,"{""200"": 521, ""201"": 424, ""500"": 47}",15000,27000,33000,3.0226777629101598,0.0,0.0,74.98,76.86,False,,1788690617.281,329.754,2026-09-06T10:30:17.281000+00:00,2026-09-06T10:35:47.035000+00:00,471,47,0,0,verificado_con_violaciones,48,0,verificado_con_violaciones,0,verificado_sin_violaciones,417,7,7247437.402,verificado_parcial_con_pendientes,no_verificado,48,48,0.101911,false
omission,saga,100,1,60.0,300.0,0.1,5.0,100,100,1026,46,0.044834,461,43,418,0.093275,"{""200"": 562, ""201"": 418, ""500"": 44, ""503"": 3}",32000,55000,64000,2.9439215614908227,0.6,104.2,78.83,81.27,False,,1788691191.024,352.681,2026-09-06T10:39:51.024000+00:00,2026-09-06T10:45:43.705000+00:00,462,44,0,0,verificado_con_violaciones,49,0,verificado_con_violaciones,0,verificado_sin_violaciones,408,10,9209126.188,verificado_parcial_con_pendientes,no_verificado,49,49,0.106061,false
omission,saga,200,1,60.0,300.0,0.1,5.0,200,200,1492,380,0.254692,596,281,315,0.471477,"{""0"": 33, ""200"": 797, ""201"": 315, ""401"": 12, ""500"": 180, ""503"": 156}",45000,83000,90000,4.040562213702528,0.0,0.0,86.54,91.83,False,,1788691872.795,371.471,2026-09-06T10:51:12.795000+00:00,2026-09-06T10:57:24.266000+00:00,477,144,0,0,verificado_con_violaciones,147,0,verificado_con_violaciones,0,verificado_sin_violaciones,324,9,11148292.912,verificado_parcial_con_pendientes,no_verificado,147,147,0.308176,false
omission,saga,400,1,60.0,300.0,0.1,5.0,400,400,3637,2534,0.696728,387,329,58,0.850129,"{""0"": 2116, ""200"": 1045, ""201"": 58, ""401"": 167, ""500"": 47, ""503"": 204}",17000,90000,92000,9.218941565480415,0.5,97.7,106.32,112.07,False,,1788692718.859,396.202,2026-09-06T11:05:18.859000+00:00,2026-09-06T11:11:55.061000+00:00,300,120,0,0,verificado_con_violaciones,120,0,verificado_con_violaciones,0,verificado_sin_violaciones,180,0,12141161.201,verificado,no_verificado,120,120,0.4,false
timing,saga,50,1,60.0,300.0,0.1,5.0,50,50,936,0,0.0,442,0,442,0.0,"{""200"": 494, ""201"": 444}",16000,27000,33000,2.9285030197558393,0.0,0.0,74.76,76.68,False,,1788693288.001,321.386,2026-09-06T11:14:48.001000+00:00,2026-09-06T11:20:09.387000+00:00,444,0,0,0,verificado_sin_violaciones,2,0,verificado_con_violaciones,0,verificado_sin_violaciones,440,4,13375338.77,verificado_parcial_con_pendientes,no_verificado,2,2,0.004505,false
timing,saga,100,1,60.0,300.0,0.1,5.0,100,100,1080,67,0.062037,462,12,450,0.025974,"{""200"": 563, ""201"": 451, ""500"": 3, ""503"": 64}",30000,57000,68000,3.112821726000018,0.56,97.7,78.8,81.27,False,,1788693829.233,348.905,2026-09-06T11:23:49.233000+00:00,2026-09-06T11:29:38.138000+00:00,453,2,0,0,verificado_con_violaciones,3,0,verificado_con_violaciones,0,verificado_sin_violaciones,447,4,15119778.134,verificado_parcial_con_pendientes,no_verificado,3,3,0.006623,false
timing,saga,200,1,60.0,300.0,0.1,5.0,200,200,1448,414,0.285912,555,285,270,0.513514,"{""0"": 62, ""200"": 764, ""201"": 277, ""401"": 9, ""500"": 131, ""503"": 214}",47000,89000,90000,3.841132144809952,0.0,0.0,86.63,91.43,False,,1788694512.05,379.775,2026-09-06T11:35:12.050000+00:00,2026-09-06T11:41:31.825000+00:00,410,81,0,0,verificado_con_violaciones,81,0,verificado_con_violaciones,0,verificado_sin_violaciones,328,1,16853757.969,verificado_parcial_con_pendientes,no_verificado,81,81,0.197561,false
timing,saga,400,1,60.0,300.0,0.1,5.0,400,400,4123,2976,0.721805,408,327,81,0.801471,"{""0"": 2579, ""200"": 1066, ""201"": 81, ""401"": 175, ""409"": 8, ""500"": 74, ""503"": 140}",17000,90000,92000,10.457873230045793,0.0,0.0,105.81,111.39,False,,1788695365.996,396.253,2026-09-06T11:49:25.996000+00:00,2026-09-06T11:56:02.249000+00:00,315,108,0,0,verificado_con_violaciones,108,0,verificado_con_violaciones,0,verificado_sin_violaciones,204,3,18294803.658,verificado_parcial_con_pendientes,no_verificado,108,108,0.342857,false
