fallo,coord,concurrencia,repeticion,inicio_utc,fin_utc,ordenes_persistidas,ordenes_sin_factura,facturas_importe_distinto,orden_factura_lineas_distintas,orden_factura_estado,ordenes_stock_ausente_o_distinto,ordenes_descuento_duplicado,inventario_exactamente_una_vez_estado,eventos_stock_negativo,stock_no_negativo_estado,outbox_procesados_saga,outbox_no_resueltos_saga,convergencia_compensacion_ms,convergencia_compensacion_estado,cancelados_compensados_estado,inconsistencias,ordenes_con_inconsistencia,tasa_inconsistencia,oracle_pass
omission,2pc,200,4,2026-09-06T22:04:20.357000+00:00,2026-09-06T22:10:56.419000+00:00,395,121,0,0,verificado_con_violaciones,121,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,121,121,0.306329,false
omission,2pc,400,4,2026-09-06T22:18:45.480000+00:00,2026-09-06T22:25:21.622000+00:00,178,62,0,0,verificado_con_violaciones,62,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,62,62,0.348315,false
timing,2pc,50,4,2026-09-06T22:28:08.203000+00:00,2026-09-06T22:33:44.516000+00:00,365,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,100,4,2026-09-06T22:37:53.482000+00:00,2026-09-06T22:44:01.670000+00:00,349,16,0,0,verificado_con_violaciones,16,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,16,16,0.045845,false
timing,2pc,200,4,2026-09-06T22:49:39.146000+00:00,2026-09-06T22:55:44.920000+00:00,250,59,0,0,verificado_con_violaciones,59,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,59,59,0.236,false
timing,2pc,400,4,2026-09-06T23:03:44.778000+00:00,2026-09-06T23:10:21.086000+00:00,158,69,0,0,verificado_con_violaciones,69,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,69,69,0.436709,false
none,saga,50,4,2026-09-06T23:13:31.676000+00:00,2026-09-06T23:19:11.905000+00:00,444,0,0,0,verificado_sin_violaciones,88,0,verificado_con_violaciones,0,verificado_sin_violaciones,355,89,27450875.675,verificado_parcial_con_pendientes,no_verificado,88,88,0.198198,false
none,saga,100,4,2026-09-06T23:23:02.552000+00:00,2026-09-06T23:29:08.567000+00:00,459,2,0,0,verificado_con_violaciones,459,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,457,no_verificado,no_verificado,no_verificado,459,459,1.0,false
none,saga,200,4,2026-09-06T23:34:47.718000+00:00,2026-09-06T23:41:01.603000+00:00,296,52,0,0,verificado_con_violaciones,296,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,244,no_verificado,no_verificado,no_verificado,296,296,1.0,false
none,saga,400,4,2026-09-06T23:48:59.130000+00:00,2026-09-06T23:55:35.717000+00:00,239,42,0,0,verificado_con_violaciones,239,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,197,no_verificado,no_verificado,no_verificado,239,239,1.0,false
omission,saga,50,4,2026-09-06T23:58:33.028000+00:00,2026-09-07T00:04:17.107000+00:00,437,94,0,0,verificado_con_violaciones,437,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,343,no_verificado,no_verificado,no_verificado,437,437,1.0,false
omission,saga,100,4,2026-09-07T00:08:16.231000+00:00,2026-09-07T00:14:23.449000+00:00,444,38,0,0,verificado_con_violaciones,444,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,406,no_verificado,no_verificado,no_verificado,444,444,1.0,false
omission,saga,200,4,2026-09-07T00:19:37.799000+00:00,2026-09-07T00:25:54.963000+00:00,409,143,0,0,verificado_con_violaciones,409,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,266,no_verificado,no_verificado,no_verificado,409,409,1.0,false
omission,saga,400,4,2026-09-07T00:33:54.593000+00:00,2026-09-07T00:40:30.729000+00:00,234,140,0,0,verificado_con_violaciones,234,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,94,no_verificado,no_verificado,no_verificado,234,234,1.0,false
timing,saga,50,4,2026-09-07T00:43:18.790000+00:00,2026-09-07T00:49:00.159000+00:00,368,0,0,0,verificado_sin_violaciones,368,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,368,no_verificado,no_verificado,no_verificado,368,368,1.0,false
timing,saga,100,4,2026-09-07T00:53:03.291000+00:00,2026-09-07T00:59:17.295000+00:00,414,1,0,0,verificado_con_violaciones,414,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,413,no_verificado,no_verificado,no_verificado,414,414,1.0,false
timing,saga,200,4,2026-09-07T01:04:54.756000+00:00,2026-09-07T01:11:23.948000+00:00,461,75,0,0,verificado_con_violaciones,461,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,386,no_verificado,no_verificado,no_verificado,461,461,1.0,false
timing,saga,400,4,2026-09-07T01:19:41.166000+00:00,2026-09-07T01:26:17.413000+00:00,231,107,0,0,verificado_con_violaciones,231,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,124,no_verificado,no_verificado,no_verificado,231,231,1.0,false
none,2pc,50,5,2026-09-07T01:29:19.423000+00:00,2026-09-07T01:34:59.338000+00:00,316,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
none,2pc,100,5,2026-09-07T01:38:53.111000+00:00,2026-09-07T01:44:52.845000+00:00,365,28,0,0,verificado_con_violaciones,36,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,36,36,0.09863,false
none,2pc,200,5,2026-09-07T01:50:35.736000+00:00,2026-09-07T01:57:11.776000+00:00,356,103,0,0,verificado_con_violaciones,108,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,108,108,0.303371,false
none,2pc,400,5,2026-09-07T02:05:14.269000+00:00,2026-09-07T02:11:50.517000+00:00,189,48,0,0,verificado_con_violaciones,54,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,54,54,0.285714,false
omission,2pc,50,5,2026-09-07T02:14:45.644000+00:00,2026-09-07T02:20:18.389000+00:00,301,22,0,0,verificado_con_violaciones,22,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,22,22,0.07309,false
omission,2pc,100,5,2026-09-07T02:24:13.605000+00:00,2026-09-07T02:30:00.461000+00:00,381,35,0,0,verificado_con_violaciones,35,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,35,35,0.091864,false
omission,2pc,200,5,2026-09-07T02:35:41.593000+00:00,2026-09-07T02:41:59.774000+00:00,336,134,0,0,verificado_con_violaciones,134,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,134,134,0.39881,false
omission,2pc,400,5,2026-09-07T02:50:28.959000+00:00,2026-09-07T02:57:05.136000+00:00,315,84,0,0,verificado_con_violaciones,126,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,126,126,0.4,false
timing,2pc,50,5,2026-09-07T03:00:03.829000+00:00,2026-09-07T03:05:50.994000+00:00,365,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,100,5,2026-09-07T03:09:50.675000+00:00,2026-09-07T03:16:20.603000+00:00,379,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,200,5,2026-09-07T03:22:03.811000+00:00,2026-09-07T03:28:28.309000+00:00,329,127,0,0,verificado_con_violaciones,127,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,127,127,0.386018,false
timing,2pc,400,5,2026-09-07T03:36:26.858000+00:00,2026-09-07T03:43:03.001000+00:00,233,44,0,0,verificado_con_violaciones,44,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,44,44,0.188841,false
none,saga,50,5,2026-09-07T03:45:56.828000+00:00,2026-09-07T03:51:26.570000+00:00,343,0,0,0,verificado_sin_violaciones,343,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,343,no_verificado,no_verificado,no_verificado,343,343,1.0,false
none,saga,100,5,2026-09-07T03:55:14.899000+00:00,2026-09-07T04:01:08.120000+00:00,419,0,0,0,verificado_sin_violaciones,419,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,419,no_verificado,no_verificado,no_verificado,419,419,1.0,false
none,saga,200,5,2026-09-07T04:06:51.924000+00:00,2026-09-07T04:13:19.363000+00:00,364,86,0,0,verificado_con_violaciones,364,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,278,no_verificado,no_verificado,no_verificado,364,364,1.0,false
none,saga,400,5,2026-09-07T04:21:22.006000+00:00,2026-09-07T04:27:46.186000+00:00,27,0,0,0,verificado_sin_violaciones,27,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,27,no_verificado,no_verificado,no_verificado,27,27,1.0,false
omission,saga,50,5,2026-09-07T04:33:22.852000+00:00,2026-09-07T04:38:55.879000+00:00,255,30,0,0,verificado_con_violaciones,255,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,225,no_verificado,no_verificado,no_verificado,255,255,1.0,false
omission,saga,100,5,2026-09-07T04:42:49.887000+00:00,2026-09-07T04:48:53.607000+00:00,425,80,0,0,verificado_con_violaciones,425,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,345,no_verificado,no_verificado,no_verificado,425,425,1.0,false
omission,saga,200,5,2026-09-07T04:54:27.725000+00:00,2026-09-07T05:00:51.369000+00:00,390,130,0,0,verificado_con_violaciones,390,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,260,no_verificado,no_verificado,no_verificado,390,390,1.0,false
omission,saga,400,5,2026-09-07T05:08:46.866000+00:00,2026-09-07T05:15:22.961000+00:00,232,81,0,0,verificado_con_violaciones,232,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,151,no_verificado,no_verificado,no_verificado,232,232,1.0,false
timing,saga,50,5,2026-09-07T05:18:20.308000+00:00,2026-09-07T05:23:49.044000+00:00,395,0,0,0,verificado_sin_violaciones,395,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,395,no_verificado,no_verificado,no_verificado,395,395,1.0,false
timing,saga,100,5,2026-09-07T05:27:59.859000+00:00,2026-09-07T05:33:57.257000+00:00,409,0,0,0,verificado_sin_violaciones,409,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,409,no_verificado,no_verificado,no_verificado,409,409,1.0,false
timing,saga,200,5,2026-09-07T05:39:25.652000+00:00,2026-09-07T05:45:54.464000+00:00,385,57,0,0,verificado_con_violaciones,385,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,328,no_verificado,no_verificado,no_verificado,385,385,1.0,false
timing,saga,400,5,2026-09-07T05:53:57.579000+00:00,2026-09-07T06:00:33.813000+00:00,239,40,0,0,verificado_con_violaciones,239,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,199,no_verificado,no_verificado,no_verificado,239,239,1.0,false
